epoch,train_loss,train_acc,val_loss,val_acc
1.0,2.1549097537202297,0.2703125,2.980350320276461,0.32
2.0,1.8451542212717558,0.36802083333333335,2.154155506115211,0.345
3.0,1.7221943298447568,0.4113541666666667,1.7815017825678776,0.4141666666666667
4.0,1.6530643527293918,0.43927083333333333,2.1180958206716336,0.44208333333333333
5.0,1.5337316835441464,0.4753125,1.6293233919300532,0.4479166666666667
6.0,1.533038278552781,0.4784375,1.489406536284246,0.48583333333333334
7.0,1.3954670712401305,0.5186458333333334,1.4462753616665538,0.5170833333333333
8.0,1.3513906316899778,0.5434375,1.4089057908246392,0.5220833333333333
9.0,1.295152032890193,0.5551041666666666,1.4849702899197215,0.5158333333333334
10.0,1.2003259991490565,0.5910416666666667,1.5549524225245572,0.5120833333333333
11.0,1.1316422548801004,0.6202083333333334,1.2971786719403768,0.5691666666666667
12.0,1.0147907189356529,0.6544791666666666,1.397333641193415,0.5391666666666667
13.0,0.9694229717864546,0.6658333333333334,1.3736677748445225,0.5708333333333333
14.0,0.8638296707524018,0.7075,1.363938210728137,0.5641666666666667
15.0,0.7645817620809688,0.740625,1.3236650754942705,0.5820833333333333
16.0,0.661203321230372,0.7723958333333333,1.4634603346256834,0.57625
17.0,0.555859756034078,0.8057291666666667,1.3816664030922479,0.6
18.0,0.42832756287532786,0.8514583333333333,1.5582393934263994,0.5983333333333334
19.0,0.37305804510350243,0.8692708333333333,1.529726625665238,0.5958333333333333
20.0,0.28891647718475505,0.9055208333333333,1.6545776858141548,0.6079166666666667
