label,img_path,can_be_opened,errors,width,height
tornado,bt096.jpg,True,,1280.0,960.0
tornado,62862-jarrell-tornado.image-via-kxan.jpg,True,,520.0,290.0
tornado,twister-1.png,True,,512.0,898.0
tornado,what-do-dreams-about-tornadoes-mean.jpg,True,,1000.0,625.0
tornado,tornado_2185247k.jpg,True,,858.0,536.0
tornado,51b2d8af5f985c43d49c96223b3a29e5.jpg,True,,800.0,600.0
tornado,hail-south-africa-3.jpg,True,,520.0,400.0
tornado,8033300.jpg_21866857_ver1.0_1280_720.jpg,True,,1280.0,720.0
tornado,6fba7bf2ccf8f--wyoming-tornado-alley.jpg,True,,600.0,900.0
tornado,578-3209899-image-m-21_1440491203862.jpg,True,,634.0,793.0
tornado,4e10e199caa5867eb7ffb37aef54a6eba6bb.jpg,True,,3888.0,2592.0
tornado,19.jpg,True,,979.0,708.0
tornado,h-a-tornado-cross-the-highway-bedck8.jpg,True,,640.0,447.0
tornado,jarrell-tor-horizontal-vortex-tubes.png,True,,731.0,457.0
tornado,o-MANITOBA-TORNADO-facebook.jpg,True,,2000.0,1000.0
tornado,946ab023f3a19b92--colorado-tornadoes.jpg,True,,500.0,500.0
tornado,0*Cv4jnw6Ln_tGm84t.png,True,,531.0,1024.0
tornado,5a1f705c9c495.jpg,True,,800.0,480.0
tornado,tornado-field.jpg,True,,900.0,600.0
tornado,tornado-trailer-park.jpeg,True,,534.0,401.0
tornado,1004517_1_3437462_01_1250x675.jpg,True,,1250.0,675.0
tornado,7C-F707-41A2-88FE030AE97ADBD7_source.jpg,True,,277.0,277.0
tornado,image.jpeg,True,,1280.0,468.0
tornado,CopeTornado_Phil_Bergmaier.jpg,True,,1730.0,1154.0
tornado,2z6kn.jpg,True,,370.0,247.0
tornado,s_tornado_160203.nbcnews-ux-1080-600.jpg,True,,1067.0,600.0
tornado,uscaloosa-alabama-tuscaloosa-tornado.jpg,True,,735.0,490.0
tornado,lty-free-image-1131211373-1562702953.jpg,True,,4005.0,2670.0
tornado,10420496_G.jpg,True,,640.0,480.0
tornado,578-3268466-image-m-13_1444578328392.jpg,True,,634.0,591.0
tornado,clip_image00212.jpg,True,,575.0,432.0
tornado,g-Lot-19685519_247388_ver1.0_640_480.jpg,True,,640.0,480.0
tornado,90f03e-20100714-tornado2.jpg,True,,600.0,467.0
tornado,578-4710958-image-m-26_1500474065538.jpg,True,,634.0,491.0
tornado,n_into_the_ocean_-a-28_1452291532908.jpg,True,,962.0,563.0
tornado,pbgtornado2.jpg,True,,640.0,480.0
tornado,ce3f17_name_file_1280x720_2000_v3_1_.jpg,True,,1280.0,720.0
tornado,15d2d5f9350e6d2d0715b87c08c93e4d.jpg,True,,480.0,360.0
tornado,skynews-tornado-us-storm_4847751.jpg,True,,768.0,432.0
tornado,573154908e2b2.image.jpg,True,,1385.0,1495.0
tornado,d6c4d705310--myrtle-beach-sc-beaches.jpg,True,,487.0,600.0
tornado,waterspout.jpg,True,,600.0,337.0
tornado,5c39b-updraft-files-2013-12-606-ws-2.png,True,,639.0,476.0
tornado,061614_tornado_546.jpg,True,,780.0,438.0
tornado,11-tornado-watch-v-warning-super-169.jpg,True,,1100.0,619.0
tornado,v-i36972.jpg,True,,1100.0,733.0
tornado,Tuscaloosa+EF4+Tornado.jpg,True,,478.0,319.0
tornado,tonado-nc-2010.jpg,True,,1024.0,768.0
tornado,001dbf08--blue-painting-art-for-sale.jpg,True,,541.0,700.0
tornado,70db200feec616d1c1a4eeef--bays-japan.jpg,True,,236.0,173.0
tornado,a4c33266354b910255782b8fd81660cb.jpg,True,,700.0,1071.0
tornado,Chickasaw_tornado_4_91626492_ver1.0.jpg,True,,1920.0,1080.0
tornado,nader.jpg,True,,1292.0,729.0
tornado,tornado-southern-alberta.JPG,True,,780.0,439.0
tornado,180502_atm_weather_16x9_992.jpg,True,,992.0,558.0
tornado,fire%2Bfor%2Bweb.jpg,True,,1600.0,1067.0
tornado,nado-roger-hillscience-photo-library.jpg,True,,300.0,300.0
tornado,tle-tornado-monument-valley-24113238.jpg,True,,800.0,533.0
tornado,Tornado_AP_031915.jpg,True,,600.0,440.0
tornado,weather-main-190315_hpMain_16x9_992.jpg,True,,992.0,558.0
tornado,may03_99_01.JPG,True,,640.0,480.0
tornado,4d939fd8f03--sweet-home-on-the-beach.jpg,True,,366.0,488.0
tornado,tornado_night.jpeg,True,,462.0,483.0
tornado,537e7112--tornado-pictures-tornadoes.jpg,True,,736.0,552.0
tornado,DSC00026.JPG,True,,640.0,480.0
tornado,9201083ed088eef07efa68f8af673591.jpg,True,,738.0,1109.0
tornado,seymour.jpg,True,,521.0,334.0
tornado,2009-04-21_075727.jpg,True,,300.0,170.0
tornado,open-window-tornado-update.jpg,True,,907.0,510.0
tornado,TheSkyBe%203.jpg,True,,650.0,488.0
tornado,52f53319eab8ea15531afa3d-750.jpg,True,,600.0,411.0
tornado,2cb87--science-nature-amazing-nature.jpg,True,,474.0,355.0
tornado,249-des.m1112KnoxvilleStorms.bh-3589.JPG,True,,523.0,393.0
tornado,7b3b16c107b7595448ba--june--tornados.jpg,True,,474.0,474.0
tornado,190707_wn_marciano_hpMain_16x9_384.jpg,True,,384.0,216.0
tornado,Wash_Post_1.jpg,True,,330.0,242.0
tornado,1-18-830x450.jpg,True,,830.0,450.0
tornado,mountain-tornado-3.jpg,True,,980.0,653.0
tornado,-Park-20456221_145080_ver1.0_640_480.jpg,True,,640.0,360.0
tornado,hay3.jpg,True,,424.0,758.0
tornado,89139a75-830f-4782-98cc-f2ec5c9e9ad0.jpg,True,,960.0,640.0
tornado,IMG_0637%20copy.JPG,True,,720.0,482.0
